appid,down_bytes,down_packets,up_bytes,up_packets
0,38192627812,537438857577,55849183112,395444367496
14,329342,1374,685333,4090
7,1233963485,34360197005,1034973507,8591793331
91,1876040837,154619025362,1431523025,85900093157
140,387814677,296151,747335170,180713
145,8711417,677,19812175,227608
212,561327895,8589941286,563987276,4294987367
223,1898321017,94489294024,1954357710,47244674051
27,4352765512,335007612359,7311121902,154620090180
48,933249433,244813312879,1326977642,150324764987
5,20550658,4295041852,23494118,153026
51,62575336,4294976248,46154819,4295011341
166,2861069,31612,5480780,89446
17,93304704,4295375149,259205853,4296121797
173,12759818,21474836543,106307661,21474984277
175,11291884890,103079549529,283005930,8590608563
60,128501240,4294971274,19012878,31458
9,851246,6033,1436152,14462
126,45368069,8590380195,64342495,8590827239
69,183758375,47244640353,115878874,25769803934
87,1297165218,261993069550,838293732,115964447396
224,20213046,701,3655800,19781
143,2911421,629,7753943,6590
148,824902,163,1284919,9219
222,106824,71,801058,9639
144,71531,48,885316,140
214,53184,179,188242,1795
178,97588,61,28279,163
165,41320926,34359850047,106690592,21475059850
37,24862319,17179869212,24843009,17179869215
3,2680801,1,25579,3
68,12690,59,20529,113
125,3567821,8589935517,6108085,4294976563
219,60178,469,84110,934
147,15326516,4059,15447275,8452
188,127224,19,45314,43
10,724344,7035,1178700,14087
185,1154248,841,6686477,4103
163,585219,7,61175,258
146,738,6,1080,15
74,378,3,134688,1222
127,27040,144,75800,540
23,22036,242,4977432,98274
88,266,5,192,4
